epoch,train_loss,train_bs,train_cloc,train_beta,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_bs,val_cloc,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,0.23911587142252497,0.224780835211277,0.2964560464024544,0.006666666666666667,55.92620535714286,53.86441964285715,74.42522321428571,172.43410714285713,50.07227678571429,0.4394891911319324,10.866293685776848,0.1789226124787496,0.1670527458190918,0.22640206292271614,62.47944444444445,65.75666666666667,72.57444444444444,149.96944444444446,37.507777777777775,1.813774824142456,6.4193052185906305
2,0.18295983333207133,0.1728920377790928,0.22323108464479446,0.013333333333333334,63.068526785714276,63.420848214285705,74.23375,145.60245535714284,38.66794642857144,0.13347301525729044,10.396442711353302,0.19147687488132054,0.18099891021847725,0.2333887331187725,57.97555555555556,62.903055555555554,65.9525,143.1472222222222,43.87333333333333,0.04647877481248643,2.806502593888177
3,0.1309699599764177,0.12302721478044987,0.162741020321846,0.020000000000000004,70.15580357142858,71.95535714285714,76.1244642857143,116.1946428571429,31.442142857142855,0.1140925767166274,10.397916427680425,0.14212628215965298,0.141800157725811,0.14343073032796383,67.05166666666668,86.03083333333333,62.406666666666666,93.12444444444446,25.333333333333336,0.04950802856021457,2.80666446685791
4,0.10997227032203227,0.1058784369379282,0.12634764052927494,0.02666666666666667,74.59799107142858,76.65031250000001,78.94004464285715,102.27124999999998,25.678437499999994,0.10716441380126135,10.39649704524449,0.07903257312460078,0.07500711549073458,0.09513441473245621,79.57416666666667,89.26138888888889,74.28333333333333,78.87027777777777,19.387777777777778,0.046855390071868896,2.807280275556776
5,0.08818755246466026,0.08412845805287361,0.10442393273115158,0.03333333333333333,78.59406249999999,80.6475892857143,81.74875,89.65535714285711,22.3778125,0.09923404561621803,10.396926632949285,0.05408381117093894,0.05078363046050072,0.0672845346853137,85.76166666666667,87.49583333333334,86.04805555555556,68.54249999999999,16.009722222222223,0.047061529424455434,2.8078495396508107
6,0.07393073384550267,0.07033601962029934,0.08830959722399712,0.04000000000000001,81.90316964285714,83.95834821428569,84.31035714285713,74.54089285714286,18.607098214285713,0.10197707159178598,10.396460149969375,0.07003188091847631,0.06465761084109545,0.09152895770967007,82.40277777777779,75.75916666666667,94.51972222222221,91.24194444444444,23.477777777777778,0.04703289270401,2.8077602518929377
7,0.060584608024717976,0.05696752015501261,0.07505296170711517,0.04666666666666667,84.73129464285712,85.50839285714287,86.83781249999998,67.621875,16.497633928571425,0.09637593903711865,10.39644707100732,0.07150535611435771,0.06469627469778061,0.0987416822463274,83.7525,77.83694444444444,96.26305555555555,88.86777777777777,22.81638888888889,0.0481874148050944,2.806770920753479
8,0.056695899385626296,0.05401098541915417,0.06743556540459394,0.05333333333333334,86.01549107142858,87.58098214285715,87.34821428571428,63.22522321428572,14.595982142857142,0.09955398312636785,10.396451430661338,0.05410500874535905,0.05204171594232321,0.062358180060982704,86.3411111111111,95.03000000000002,80.76416666666667,48.831388888888895,11.8575,0.05138990614149306,2.8077602518929377
9,0.0537696797400713,0.05081370938569307,0.06559357978403568,0.06,86.71544642857141,88.23549107142858,88.12486607142857,67.32647321428573,14.743660714285717,0.10201305789606913,10.396451430661338,0.035060673486441374,0.03284031432121992,0.04394210781902075,91.24277777777777,90.5288888888889,92.99416666666667,54.62972222222222,11.457500000000001,0.04641141494115194,2.8075176344977484
10,0.05053291310988633,0.04845569934695959,0.05884180869907141,0.06666666666666667,88.21700892857142,88.49964285714285,90.63946428571427,67.30107142857142,14.283080357142854,0.10223752685955592,10.396451430661338,0.03445746175323924,0.033017775509506464,0.04021620377898216,91.50722222222223,91.24222222222222,92.81305555555556,49.58305555555556,11.248055555555556,0.04959826999240451,2.8079597155253095
