epoch,train_loss,train_bs,train_cloc,train_beta,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_bs,val_cloc,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,0.2460187892762146,0.24281537160277367,0.24922222644090652,0.006666666666666667,54.87477678571429,58.60325892857143,64.62834821428572,154.39330357142862,41.00526785714286,0.28666226672274725,10.864657759666443,0.18716826683117282,0.18283278867602348,0.19150375202298164,57.88527777777777,71.965,57.495555555555555,118.97611111111112,35.66972222222222,1.443782713678148,6.418603605694241
2,0.16321414454640554,0.1558353267610073,0.17059297859668732,0.013333333333333334,65.3804017857143,68.96696428571428,70.78919642857142,110.33946428571429,30.41026785714286,0.11399137548037938,10.396038447107587,0.2122759334743023,0.18224703520536423,0.24230483919382095,59.98555555555556,58.57611111111111,72.83611111111111,129.3172222222222,41.814166666666665,0.04726979467603895,2.806888977686564
3,0.13536664065239684,0.12816449627280235,0.14256878569722176,0.020000000000000004,70.38223214285713,72.80133928571429,75.38732142857143,96.07647321428571,27.29044642857142,0.10046686551400594,10.396178092275347,0.1337637725389666,0.13888483121991158,0.1286427192389965,69.90555555555557,77.05250000000001,69.13888888888889,93.20333333333333,27.02861111111111,0.047831681039598256,2.8058536052703857
4,0.1203209153775658,0.11288288794457912,0.12775895558297634,0.02666666666666667,72.3121875,73.98857142857143,77.6158482142857,92.22874999999999,25.660491071428567,0.1001360725079264,10.396862234388077,0.14114856037000817,0.10697866044938564,0.17531846463680267,72.65305555555555,65.25472222222223,91.62944444444445,118.90305555555555,34.74805555555556,0.047013534439934626,2.8063876628875732
5,0.10427337906522943,0.0950686652213335,0.11347809433937073,0.03333333333333333,76.51875000000001,78.46785714285713,80.15558035714285,85.81633928571426,23.308392857142856,0.10624160511153083,10.396375596523285,0.10039966957022746,0.08879564516246319,0.11200369335711002,77.39666666666668,74.69277777777776,85.87638888888888,94.95555555555556,25.653333333333332,0.047201818890041776,2.806233909395006
6,0.09744106256818799,0.08740726672112942,0.10747486539185047,0.04000000000000001,78.18,80.09799107142857,81.78790178571428,81.32892857142858,22.081116071428575,0.10622641444206238,10.396450349262782,0.09881214507751994,0.08719429560005665,0.11042999662458897,77.26583333333333,84.71638888888889,74.96527777777777,93.39444444444443,24.170555555555556,0.04670531882180108,2.806081904305352
7,0.08478354244808933,0.07678070664405823,0.0927863847464323,0.04666666666666667,80.674375,83.38357142857141,82.66861607142856,76.9405357142857,19.171919642857148,0.10270243883132935,10.396622691835676,0.07633029809221625,0.0658170748502016,0.08684352040290833,82.23805555555555,82.88777777777777,85.57777777777778,76.82805555555555,18.62777777777778,0.04673050509558784,2.805765390396118
8,0.08025673242601832,0.07115478068590164,0.08935870043933392,0.05333333333333334,82.04584821428571,83.59897321428573,84.9078125,76.78504464285714,18.832410714285714,0.10319738835096359,10.396531462669373,0.05220248198343647,0.04318997636437416,0.0612149890512228,88.24777777777778,90.89277777777778,87.2688888888889,57.964722222222214,13.348055555555554,0.04684022400114272,2.806249486075507
9,0.07403198442105868,0.06597054935991764,0.08209342695772648,0.06,83.5650892857143,85.60169642857144,85.56200892857143,71.23642857142856,16.99330357142857,0.1016299117888723,10.39623703275408,0.054398115879545614,0.04742027074098587,0.06137595605105162,87.44611111111111,87.64000000000001,89.02805555555555,81.41861111111112,16.543888888888887,0.04691025283601549,2.806749264399211
10,0.06354295146385475,0.057097552344202995,0.06998835690319538,0.06666666666666667,85.5150892857143,86.73401785714286,87.29316964285715,73.86660714285715,16.341250000000002,0.1032096701008933,10.396617574351174,0.06206155110461017,0.04885006509721279,0.07527303975075483,86.21166666666666,93.86361111111111,81.26833333333335,56.17861111111111,13.217777777777778,0.04682224326663548,2.805867168638441
