epoch,train_loss,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,1.1586538343025106,52.178348214285705,55.862857142857145,64.25120535714285,164.840625,45.69848214285713,0.3249768891504833,10.864001482725143,1.0755870623721018,55.19388888888889,56.31416666666667,64.04055555555556,147.2572222222222,39.07305555555556,1.5861814419428508,6.418675661087036
2,1.08258406072855,56.78763392857143,59.482187499999995,68.5233482142857,158.51205357142857,40.95,0.18075930965798243,10.39574272292001,1.1375972860389285,60.39555555555556,64.68444444444444,67.4325,151.3413888888889,38.648611111111116,0.046429826153649226,2.8063300185733375
3,0.9496755307274205,63.529241071428565,65.11741071428571,73.88334821428572,151.8425892857143,37.222812499999996,0.13921562262943815,10.395736021654946,0.8981391373607847,65.7538888888889,66.59944444444444,71.95055555555555,151.60861111111112,33.287222222222226,0.04675540659162734,2.807010730107625
4,0.8255166398095234,67.88383928571429,70.72339285714287,72.93339285714285,150.76647321428572,34.435937499999994,0.12867360562086105,10.395736021654946,1.0108080340756311,60.55055555555556,77.54083333333334,54.16944444444444,138.8397222222222,33.8225,0.0483803219265408,2.8063300185733375
5,0.695743295696697,74.42049107142859,76.52875,78.37700892857143,129.48910714285714,28.345580357142858,0.13648559259516854,10.395736021654946,0.8221253148383565,70.95527777777778,65.08805555555556,85.26055555555556,147.48361111111112,35.801944444444445,0.046755479441748724,2.807010730107625
6,0.6091227987781167,77.31214285714287,79.12330357142858,80.66879464285714,117.5033035714286,25.385803571428568,0.12155923673084804,10.395736021654946,0.6701428836418523,75.74583333333334,74.325,82.51,129.63583333333332,28.675555555555558,0.04652584923638237,2.8063300185733375
7,0.5219599495508841,81.14669642857143,82.95602678571427,82.9615625,108.73089285714286,22.639508928571423,0.13140542273010525,10.395736021654946,0.6449052894281017,74.29194444444443,79.37916666666668,73.99666666666667,129.51555555555555,28.921944444444446,0.04906739791234334,2.807010730107625
8,0.5067994613200426,81.57142857142858,83.38879464285714,84.16026785714286,98.26477678571429,21.376651785714287,0.12062928506306239,10.395736021654946,0.5283209366930856,81.42527777777777,80.24527777777779,86.04472222222222,126.78194444444445,26.465277777777775,0.04817314942677815,2.8063300185733375
9,0.48852740733751226,81.82758928571427,82.92933035714285,84.86415178571428,95.0611607142857,20.479375,0.11958407397781098,10.395736021654946,0.3908561083177725,84.96888888888888,87.20416666666665,84.81861111111111,71.62416666666667,15.23277777777778,0.0474383897251553,2.807010730107625
10,0.4321907033611621,84.28151785714284,84.98227678571429,87.11571428571426,84.50723214285713,18.012142857142862,0.11761230549642018,10.395736021654946,0.5018650914231936,81.3225,86.05583333333334,81.29972222222221,72.3938888888889,17.86611111111111,0.046981255213419594,2.8063300185733375
11,0.40991586523263585,85.02504464285714,85.9042857142857,87.83910714285715,77.95901785714287,16.46950892857143,0.11305537500551768,10.395736021654946,0.3964950901766618,84.83916666666666,85.67611111111111,85.91027777777778,73.12027777777777,15.76111111111111,0.04743210474650065,2.807010730107625
12,0.32148814390945646,88.75495535714285,89.07482142857143,90.5154017857143,67.17776785714287,14.188214285714288,0.10718924552202225,10.395736021654946,0.38629358468784225,83.98694444444445,94.70472222222223,79.13861111111112,55.804722222222225,12.612222222222222,0.04899552133348253,2.8063300185733375
13,0.327965303390686,88.42513392857143,88.79361607142857,90.64383928571428,66.13857142857144,13.4640625,0.10092444930757793,10.395736021654946,0.3196379606508546,87.86694444444444,84.95750000000001,92.82138888888889,79.91166666666668,15.774722222222222,0.048741923438178174,2.807010730107625
14,0.3127661114225962,88.82388392857143,89.66785714285713,90.36013392857141,67.21691964285715,13.54004464285714,0.10939513998372215,10.395736021654946,0.4583044353251656,83.26638888888888,92.28527777777778,78.6775,69.07833333333333,14.989722222222223,0.048236350218454994,2.8063300185733375
15,0.28582661519093167,90.05433035714286,90.56691964285714,91.74857142857142,58.35910714285714,11.69642857142857,0.10558461717196874,10.395736021654946,0.23077874496165252,91.45361111111112,93.475,90.29194444444445,46.67666666666667,9.043611111111112,0.04651121960745917,2.807010730107625
16,0.28000331418921376,89.95629464285715,89.98236607142857,92.20598214285715,64.21482142857143,12.839330357142858,0.11080302298069,10.395736021654946,0.25957500748336315,90.29333333333332,88.57083333333333,93.795,66.58250000000001,12.865,0.050163308779398605,2.8063300185733375
17,0.24202712229453027,91.13357142857143,91.53866071428573,92.56459821428572,56.27263392857143,10.830982142857144,0.1096968948841095,10.395736021654946,0.21739824923376241,92.24583333333334,92.43805555555556,92.67722222222221,60.25666666666666,10.67861111111111,0.047290391392178,2.807010730107625
