epoch,train_loss,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,1.58157997152635,53.57526785714286,41.93678571428571,95.24089285714287,195.85102678571428,71.21915178571427,0.454301081597805,10.866309251104083,1.5888934102323322,61.82888888888889,49.711111111111116,97.54944444444445,182.45416666666665,64.66305555555556,1.328028380870819,6.419144789377849
2,1.4018543705876385,55.57700892857143,43.64700892857143,97.2325892857143,192.74852678571432,67.56236607142856,0.1453903051359313,10.397408681256431,1.2650345083740022,61.33805555555556,48.6,98.85166666666667,179.5327777777778,66.77388888888888,0.04777144723468357,2.806580755445692
3,1.164191742294601,60.41392857142857,48.93669642857143,96.56339285714286,188.29375000000007,63.91477678571429,0.1378231250814029,10.397408681256431,1.363701406452391,66.11250000000001,54.605000000000004,98.35944444444445,174.4897222222222,59.618888888888875,0.04640060000949435,2.806580755445692
4,1.0932291598458375,61.76245535714286,49.97834821428572,96.90075892857142,183.0127232142857,63.325223214285714,0.12435964707817349,10.397408681256431,1.4037164565589693,69.58722222222222,60.05083333333334,93.51916666666668,162.11111111111111,50.556111111111115,0.04658886459138658,2.806580755445692
5,0.9421474090112106,66.12343750000001,54.77723214285714,96.61933035714284,179.92955357142856,57.66441964285714,0.12251621697630202,10.397408681256431,0.9937294291125404,66.09916666666668,53.644444444444446,99.30166666666669,168.79222222222222,60.61138888888888,0.04775961240132649,2.806580755445692
6,0.8434478482231498,68.54772321428572,57.58696428571429,97.18183035714284,164.52008928571428,51.81973214285715,0.11790795411382403,10.397408681256431,0.8570823851558897,71.455,60.739444444444445,98.28055555555555,150.34694444444443,47.620555555555555,0.048127558496263295,2.806580755445692
7,0.7064095315124308,72.3846875,62.25531249999999,96.56415178571432,143.8663839285714,41.58040178571429,0.11479744208710535,10.397408681256431,0.98507954676946,80.0136111111111,74.50166666666667,91.77583333333334,101.44694444444444,28.042222222222225,0.048105696837107345,2.806580755445692
8,0.6556458022179348,73.92906250000001,63.99486607142858,96.89388392857144,132.3759821428571,37.41763392857143,0.10378898148025785,10.397408681256431,1.2334296645389662,82.07472222222222,76.38166666666667,91.44749999999999,83.56027777777777,22.534999999999997,0.046737458970811635,2.806580755445692
9,0.49429698195308447,79.18272321428572,70.63741071428572,97.19089285714287,106.31607142857143,28.247142857142858,0.10310659770454679,10.397408681256431,0.408075207637416,84.06666666666668,76.89833333333333,97.43027777777777,96.82611111111112,22.8075,0.05141945017708672,2.806580755445692
10,0.5585457693585859,79.54558035714287,70.99473214285713,96.8635267857143,109.4338392857143,29.187901785714285,0.0998567310827119,10.397408681256431,0.736381789876355,81.54694444444445,78.0575,89.92138888888888,98.29166666666667,24.086388888888887,0.047299709584977895,2.806580755445692
