epoch,train_loss,train_b,train_dsc,train_alpha,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_b,val_dsc,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,0.40765745372378404,0.46295274794101715,0.4070989191532135,0.01,61.388794642857135,56.0805357142857,83.84727678571429,162.6488392857143,48.49745535714286,0.26925796376807354,10.863598546811513,0.41475925263431335,0.5242608115077019,0.4136531725525856,58.75277777777777,46.97972222222222,93.75194444444443,186.45527777777775,59.66305555555555,1.4285389052497015,6.418637421396044
2,0.3395342283017401,0.3346315175294876,0.3396343067288399,0.02,66.09629464285713,65.07223214285715,79.30200892857142,119.77218749999996,35.824598214285714,0.10662257671356201,10.39547050850732,0.31951345697355765,0.2967926487326622,0.31997714191675186,68.07388888888889,69.78416666666666,75.80138888888888,102.48166666666665,32.128611111111105,0.04730146461062962,2.805723985036214
3,0.34325700841977125,0.35632265359163284,0.3428528681397438,0.03,65.75191964285713,63.00267857142856,81.08303571428571,134.71803571428572,38.224375,0.12475122404950006,10.395457429545266,0.44176501046038336,0.3175131380558014,0.44560782611370087,55.435833333333335,51.845555555555556,68.89888888888889,173.77444444444444,51.91166666666667,0.049714214271969266,2.806419266594781
4,0.2883973882999271,0.29443635791540146,0.2881457805633545,0.04,71.20803571428573,68.88116071428571,82.40111607142858,95.81638392857143,28.373303571428572,0.09964580088853836,10.395457429545266,0.28693209360871047,0.3698311075568199,0.2834779843688011,71.75166666666667,65.33333333333334,90.17194444444443,133.09722222222223,39.13444444444444,0.05038001802232531,2.805711428324382
5,0.2544965625441234,0.282900869846344,0.2530016116797924,0.05,74.72928571428571,73.24125000000001,83.59875000000002,88.86258928571428,25.385401785714286,0.09858538103955133,10.395457429545266,0.3100855109644019,0.2261573150753975,0.3145027980208397,68.5963888888889,71.97583333333333,69.2238888888889,131.18,34.67194444444444,0.048500372303856745,2.806419266594781
6,0.22822580874032738,0.2684924006462097,0.22565559670329094,0.060000000000000005,77.45397321428572,76.88339285714287,84.39169642857142,82.21491071428571,22.481473214285714,0.10790059183325086,10.395457429545266,0.24948429657767218,0.26369505375623703,0.24857723340392113,75.16055555555556,74.98472222222223,81.0525,89.33166666666666,25.865,0.04781561427646213,2.805711428324382
7,0.20897951567479012,0.2699120566248894,0.2043931856751442,0.07,79.57321428571429,78.91700892857143,85.70937500000001,79.25312500000001,21.4896875,0.09492226796490806,10.395457429545266,0.23260197353859743,0.2841187119483948,0.22872436791658401,77.13888888888889,74.52888888888889,85.76722222222222,98.0711111111111,27.396388888888886,0.048135221004486084,2.806419266594781
8,0.18489002928669965,0.2485453449189663,0.17935481294989586,0.08,82.07776785714286,82.70111607142857,85.78464285714287,68.18352678571429,17.904330357142857,0.10490337652819498,10.395457429545266,0.2137016138682763,0.2374202497303486,0.21163911372423172,78.84638888888888,80.93083333333333,79.45083333333334,88.99444444444444,22.498333333333335,0.04630077547497219,2.805711428324382
9,0.1600842510316787,0.2536851689219475,0.15082699432969093,0.09,84.92883928571428,85.08321428571428,88.42147321428571,62.96374999999999,16.57875,0.10499410437686103,10.395457429545266,0.17097981377608246,0.23362094163894653,0.1647845357656479,83.52805555555557,84.34083333333334,84.8836111111111,68.86833333333334,18.4975,0.048585997687445745,2.806419266594781
10,0.15012455246012124,0.24237143620848656,0.1398749127984047,0.09999999999999999,86.0221875,86.57522321428573,88.77183035714286,60.08986607142857,14.74986607142857,0.10071650466748645,10.395457429545266,0.16016790684726503,0.23080379515886307,0.15231947973370552,84.7825,87.34805555555556,84.17444444444445,59.39472222222223,16.64472222222222,0.04615010155571832,2.805711428324382
