epoch,train_loss,train_hd,train_dsc,train_lmbda,train_dice,train_precision,train_recall,train_hd95,train_assd,train_ipe,train_mem,val_loss,val_hd,val_dsc,val_dice,val_precision,val_recall,val_hd95,val_assd,val_ipe,val_mem
1,1.1201172546882714,0.2499712722242943,0.8701459821428571,1.0,12.985401785714282,76.13433035714286,13.503794642857144,nan,nan,0.5073596845780101,10.864962118012564,1.2318317592144012,0.2455789738645156,0.9862527777777778,1.3747222222222222,96.52777777777779,0.773611111111111,nan,nan,1.7753020856115556,6.41932737827301
2,0.40749401858608636,0.20576970319130589,0.7021991071428573,0.2872750946179788,29.780089285714283,80.50142857142856,24.6975,nan,nan,0.2199991632785116,10.398134078298297,0.4758651678760847,0.2282571755349636,0.8619194444444445,13.808055555555555,85.88555555555556,12.2425,nan,nan,0.05373097128338284,2.8066938850614758
3,0.29932548102390555,0.15785575380349265,0.4827723214285714,0.29303611777319216,51.72276785714286,82.87910714285714,44.577053571428564,109.87071428571429,34.955714285714286,0.14798420241900853,10.398141103131431,0.25340656811992324,0.14184690463460153,0.3807027777777778,61.929722222222225,73.56333333333333,66.27833333333334,96.91888888888889,34.54333333333334,0.04799212349785699,2.8066938850614758
4,0.26740017144142514,0.13891139124254032,0.3929589285714285,0.3269776321612752,60.70410714285715,83.70808035714285,53.94334821428571,91.35267857142858,27.985,0.15150244214705058,10.398141103131431,0.20551933472355208,0.11730167580147584,0.26979722222222224,73.02027777777778,72.43083333333334,83.14472222222223,93.3386111111111,29.25694444444444,0.050872008005778,2.8066938850614758
5,0.27380548681997297,0.1341459079579051,0.39507544642857145,0.3535010343511763,60.492455357142866,85.40419642857144,54.095803571428576,96.65026785714286,28.941651785714285,0.14939391400132862,10.398141103131431,0.2556605524280005,0.11976100752751033,0.3844388888888889,61.55611111111111,80.24749999999999,56.15194444444444,102.03611111111111,30.081666666666663,0.047284338209364146,2.8066938850614758
6,0.20643476612998973,0.11020148957946471,0.2834183035714285,0.33954503063937685,71.65816964285712,86.0517857142857,66.31058035714287,75.95839285714285,21.402857142857144,0.13619944133928844,10.398141103131431,0.2119186893881609,0.11058619095840387,0.2984361111111111,70.1563888888889,80.86694444444444,69.53888888888889,82.51916666666668,22.22861111111111,0.04836080471674602,2.8066938850614758
7,0.18592896749864202,0.09461732027453504,0.23483705357142853,0.3888298119863422,76.51629464285715,88.04906249999999,72.37901785714286,72.42803571428571,18.179151785714286,0.1519173915897097,10.398141103131431,0.3060181095368332,0.14088532654568553,0.4246916666666667,57.530833333333334,86.1325,53.15555555555556,104.26972222222223,28.5575,0.0496460133128696,2.8066938850614758
8,0.17881311035515474,0.08855185848161844,0.22402544642857142,0.4029062484242656,77.59745535714285,88.21660714285713,73.81834821428572,69.31174107142857,17.015803571428574,0.14984327661139624,10.398141103131431,0.30177050539188915,0.13514191067467132,0.41356666666666664,58.64333333333333,88.4686111111111,49.57527777777777,97.4736111111111,27.799444444444443,0.04986199405458239,2.8066938850614758
9,0.13700182429913965,0.07129479814986033,0.16623080357142855,0.39527587575679124,83.37691964285713,91.00727678571431,79.83058035714286,59.304776785714296,13.61486607142857,0.14053355689559666,10.398141103131431,0.1284973686819689,0.06213823605018358,0.1678805555555556,83.21194444444446,83.68277777777777,85.99583333333334,63.156388888888884,14.279444444444444,0.05119893948237101,2.8066938850614758
10,0.15090632607461885,0.07458336667955985,0.17795446428571426,0.4288903881182372,82.20455357142856,89.18098214285713,79.58441964285714,65.47017857142858,14.698526785714284,0.13749673536845616,10.398141103131431,0.15866709552291366,0.07354307578255734,0.198475,80.15249999999999,89.16194444444446,75.23138888888889,61.660833333333336,14.699999999999998,0.051139149400922984,2.8066938850614758
11,0.12903488576245892,0.06384643227128045,0.15553839285714285,0.41911487181723095,84.44616071428571,90.81232142857144,81.72950892857142,60.614598214285714,13.188794642857143,0.13898657581635884,10.398141103131431,0.10601519206021395,0.04853009440315267,0.13715833333333335,86.28416666666666,87.26777777777778,86.9375,63.05944444444444,11.949444444444445,0.049649079640706376,2.8066938850614758
12,0.11427619228405612,0.05924771252986309,0.13405669642857146,0.41048661358520827,86.59433035714287,91.63468750000001,84.54200892857142,57.229732142857145,12.229732142857145,0.13104380135025295,10.398141103131431,0.08648019506492549,0.044218317709035344,0.10295555555555556,89.70444444444445,89.04972222222221,91.51722222222222,57.63916666666667,10.908333333333331,0.048802249961429164,2.8066938850614758
13,0.10104530223179609,0.050034427998720536,0.11541964285714285,0.44196007874795623,88.45803571428573,92.46799107142856,87.00098214285713,51.614598214285714,10.321830357142858,0.12406968431813375,10.398141103131431,0.14058931614272296,0.06709626697314283,0.1662888888888889,83.37111111111112,92.15083333333332,78.94833333333332,56.49194444444445,12.760555555555555,0.04758941464953952,2.8066938850614758
14,0.1016415019320058,0.04883287131919393,0.12181919642857142,0.43350007351563535,87.81808035714283,91.89808035714287,86.56665178571428,51.18285714285715,10.211741071428573,0.11808861366340093,10.398141103131431,0.16881969338282943,0.08483025767943925,0.19374722222222224,80.62527777777778,95.34611111111111,73.68222222222221,58.15111111111111,15.612222222222222,0.0498884121576945,2.8066938850614758
15,0.09156738776281209,0.04621326394096416,0.11314107142857142,0.40086348245772757,88.68589285714285,92.80062500000001,87.22361607142858,50.81767857142857,9.958348214285714,0.12034352123737335,10.398141103131431,0.180719335977402,0.07784106481509905,0.25664166666666666,74.33583333333334,95.02361111111111,65.06388888888888,56.965,14.235,0.05080099900563558,2.8066938850614758
16,0.08042732074058481,0.0400746890996483,0.09879285714285714,0.40845697564009636,90.12071428571429,93.57763392857143,88.91035714285715,49.02245535714285,9.3515625,0.11788685087646757,10.398141103131431,0.07327960703211527,0.034117659987209156,0.09587777777777777,90.41222222222221,91.68555555555557,90.10222222222222,48.48694444444444,10.179444444444446,0.049720949596828885,2.8066938850614758
